PM2.5,AQI,Year_age_in_years,CO,City_Gurugram,City_Talcher,PM10,Month,NOx,Day,AQI_Bucket,City_Patna,City_Delhi,Date,City_Guwahati,City_Thiruvananthapuram,City_Lucknow,City_Shillong,City_Kolkata,City_Visakhapatnam,Year,Target,Linear_SVR_0
149.58,318.0,9,1.22,0,0,252.1,1,13.32,7,5,0,0,6,0,0,0,0,0,0,2015,149.58,149.57996109798438
149.58,318.0,9,1.46,0,0,252.1,1,30.84,7,5,0,0,6,0,0,0,0,0,0,2015,149.58,149.57985127924195
217.87,353.0,9,9.78,0,0,376.51,1,52.41,7,5,0,1,6,0,0,0,0,0,0,2015,217.87,217.8702070003668
217.87,353.0,9,112.16,0,0,376.51,1,130.77,7,5,0,0,6,0,0,0,0,0,0,2015,217.87,217.8712605496954
217.87,353.0,9,0.53,0,0,376.51,1,66.15,7,5,0,0,6,0,0,0,0,0,0,2015,217.87,217.8699513192894
217.87,353.0,9,11.24,0,0,376.51,1,4.64,7,5,0,0,6,0,0,1,0,0,0,2015,217.87,217.87064793315798
217.87,353.0,9,12.68,0,0,376.51,1,3.97,8,5,0,0,7,0,0,1,0,0,0,2015,217.87,217.87034082507822
229.9,383.0,9,11.01,0,0,360.95,1,51.21,8,5,0,1,7,0,0,0,0,0,0,2015,229.9,229.90015461335278
229.9,383.0,9,0.44,0,0,360.95,1,43.33,8,5,0,0,7,0,0,0,0,0,0,2015,229.9,229.90012571004974
229.9,383.0,9,1.15,0,0,360.95,1,10.98,8,5,0,0,7,0,0,0,0,0,0,2015,229.9,229.89956935303127
229.9,383.0,9,0.0,0,0,360.95,1,27.48,8,5,0,0,7,0,0,0,0,0,0,2015,229.9,229.8997952329478
229.9,383.0,9,2.3,0,0,360.95,1,21.16,8,5,0,0,7,0,0,0,0,0,0,2015,229.9,229.9003909960602
229.9,383.0,9,80.87,0,0,360.95,1,96.75,8,5,0,0,7,0,0,0,0,0,0,2015,229.9,229.90039384743295
229.9,383.0,9,29.16,0,0,360.95,1,48.0,9,5,0,0,8,0,0,0,0,0,0,2015,229.9,229.9003101950818
229.9,383.0,9,13.99,0,0,360.95,1,3.13,9,5,0,0,8,0,0,1,0,0,0,2015,229.9,229.90080873085967
229.9,383.0,9,0.0,0,0,360.95,1,27.22,9,5,0,0,8,0,0,0,0,0,0,2015,229.9,229.8997951188822
201.66,375.0,9,11.09,0,0,397.43,1,45.6,9,5,0,1,8,0,0,0,0,0,0,2015,201.66,201.6602352291699
201.66,375.0,9,0.54,0,0,397.43,1,15.03,9,5,0,0,8,0,0,0,0,0,0,2015,201.66,201.65989141260997
201.66,375.0,9,1.31,0,0,397.43,1,10.52,9,5,0,0,8,0,0,0,0,0,0,2015,201.66,201.66071772891706
201.66,375.0,9,0.39,0,0,397.43,1,40.39,9,5,0,0,8,0,0,0,0,0,0,2015,201.66,201.65993703233042
201.66,375.0,9,0.98,0,0,397.43,1,11.15,10,5,0,0,9,0,0,0,0,0,0,2015,201.66,201.66045109320567
201.66,375.0,9,1.69,0,0,397.43,1,16.76,10,5,0,0,9,0,0,0,0,0,0,2015,201.66,201.6604603349098
201.66,375.0,9,14.06,0,0,397.43,1,4.05,10,5,0,0,9,0,0,1,0,0,0,2015,201.66,201.66089610700544
201.66,375.0,9,0.43,0,0,397.43,1,40.64,10,5,0,0,9,0,0,0,0,0,0,2015,201.66,201.65971117134814
201.66,375.0,9,0.43,0,0,397.43,1,0.0,10,5,0,0,9,0,0,0,0,0,0,2015,201.66,201.65986357804243
201.66,375.0,9,0.0,0,0,397.43,1,28.03,10,5,0,0,9,0,0,0,0,0,0,2015,201.66,201.66019297331854
221.02,376.0,9,9.7,0,0,361.74,1,55.19,10,5,0,1,9,0,0,0,0,0,0,2015,221.02,221.01970163933004
221.02,376.0,9,0.39,0,0,361.74,1,45.96,11,5,0,0,10,0,0,0,0,0,0,2015,221.02,221.02069878353893
221.02,376.0,9,15.69,0,0,361.74,1,4.22,11,5,0,0,10,0,0,1,0,0,0,2015,221.02,221.02062416833294
221.02,376.0,9,0.0,0,0,361.74,1,27.57,11,5,0,0,10,0,0,0,0,0,0,2015,221.02,221.02041206141692
221.02,376.0,9,132.07,0,0,361.74,1,24.53,11,5,0,0,10,0,0,0,0,0,0,2015,221.02,221.02059318061967
221.02,376.0,9,2.59,0,0,361.74,1,17.49,11,5,0,0,10,0,0,0,0,0,0,2015,221.02,221.0201384172947
205.41,379.0,9,10.98,0,0,393.2,1,57.88,11,5,0,1,10,0,0,0,0,0,0,2015,205.41,205.41023381378426
205.41,379.0,9,0.8,0,0,393.2,1,14.65,11,5,0,0,10,0,0,0,0,0,0,2015,205.41,205.4098745153616
205.41,379.0,9,0.0,0,0,393.2,1,28.44,12,5,0,0,11,0,0,0,0,0,0,2015,205.41,205.4104443194017
205.41,379.0,9,16.47,0,0,393.2,1,4.22,12,5,0,0,11,0,0,1,0,0,0,2015,205.41,205.41036567809167
205.41,379.0,9,0.48,0,0,393.2,1,43.46,12,5,0,0,11,0,0,0,0,0,0,2015,205.41,205.4099258314488
212.41,375.0,9,9.3,0,0,345.63,1,54.66,12,5,0,1,11,0,0,0,0,0,0,2015,212.41,212.40974215943993
212.41,375.0,9,52.04,0,0,345.63,1,90.24,12,5,0,0,11,0,0,0,0,0,0,2015,212.41,212.41081564457812
212.41,375.0,9,1.07,0,0,345.63,1,15.71,12,5,0,0,11,0,0,0,0,0,0,2015,212.41,212.410427577176
212.41,375.0,9,0.61,0,0,345.63,1,21.85,12,5,0,0,11,0,0,0,0,0,0,2015,212.41,212.40983026268344
212.41,375.0,9,0.97,0,0,345.63,1,12.73,13,5,0,0,12,0,0,0,0,0,0,2015,212.41,212.4098160043232
212.41,375.0,9,48.82,0,0,345.63,1,87.09,13,5,0,0,12,0,0,0,0,0,0,2015,212.41,212.41051357215113
212.41,375.0,9,0.63,0,0,345.63,1,22.9,13,5,0,0,12,0,0,0,0,0,0,2015,212.41,212.4106756426205
212.41,375.0,9,11.81,0,0,345.63,1,5.15,13,5,0,0,12,0,0,1,0,0,0,2015,212.41,212.4108368129993
212.41,375.0,9,0.0,0,0,345.63,1,29.15,13,5,0,0,12,0,0,0,0,0,0,2015,212.41,212.41068113851844
212.41,375.0,9,0.72,0,0,345.63,1,57.0,13,5,0,0,12,0,0,0,0,0,0,2015,212.41,212.41072482515168
197.61,366.0,9,11.52,0,0,301.04,1,62.95,13,5,0,1,12,0,0,0,0,0,0,2015,197.61,197.6106781625896
197.61,366.0,9,0.0,0,0,301.04,1,28.59,14,5,0,0,13,0,0,0,0,0,0,2015,197.61,197.60984752504606
197.61,366.0,9,12.86,0,0,301.04,1,4.7,14,5,0,0,13,0,0,1,0,0,0,2015,197.61,197.61086465572473
197.61,366.0,9,1.83,0,0,301.04,1,19.43,14,5,0,0,13,0,0,0,0,0,0,2015,197.61,197.6106895767878
197.61,366.0,9,1.22,0,0,301.04,1,15.74,14,5,0,0,13,0,0,0,0,0,0,2015,197.61,197.61016313362103
197.61,366.0,9,19.2,0,0,301.04,1,33.05,14,5,0,0,13,0,0,0,0,0,0,2015,197.61,197.61029364632353
197.61,366.0,9,0.86,0,0,301.04,1,55.0,14,5,0,0,13,0,0,0,0,0,0,2015,197.61,197.60970066399852
164.39,353.0,9,10.32,0,0,227.38,1,48.09,14,5,0,1,13,0,0,0,0,0,0,2015,164.39,164.39026249647404
164.39,353.0,9,11.83,0,0,227.38,1,5.06,15,5,0,0,14,0,0,1,0,0,0,2015,164.39,164.39136976721622
164.39,353.0,9,3.29,0,0,227.38,1,15.92,15,5,0,0,14,0,0,0,0,0,0,2015,164.39,164.38987660075327
166.19,340.0,9,10.81,0,0,283.93,1,79.73,15,5,0,1,14,0,0,0,0,0,0,2015,166.19,166.1908287229585
166.19,340.0,9,0.0,0,0,283.93,1,27.83,15,5,0,0,14,0,0,0,0,0,0,2015,166.19,166.18994311676565
166.19,340.0,9,0.6,0,0,283.93,1,16.6,15,5,0,0,14,0,0,0,0,0,0,2015,166.19,166.1899260269911
166.19,340.0,9,0.64,0,0,283.93,1,38.22,15,5,0,0,14,0,0,0,0,0,0,2015,166.19,166.18979535130632
166.19,340.0,9,1.01,0,0,283.93,1,12.97,15,5,0,0,14,0,0,0,0,0,0,2015,166.19,166.19024411171694
174.98,356.0,9,11.46,0,0,309.99,1,70.6,16,5,0,1,15,0,0,0,0,0,0,2015,174.98,174.979856523547
174.98,356.0,9,12.02,0,0,309.99,1,3.47,16,5,0,0,15,0,0,1,0,0,0,2015,174.98,174.98139985875684
174.98,356.0,9,1.17,0,0,309.99,1,12.51,16,5,0,0,15,0,0,0,0,0,0,2015,174.98,174.97973428846348
174.98,356.0,9,16.41,0,0,309.99,1,22.36,16,5,0,0,15,0,0,0,0,0,0,2015,174.98,174.98032825223729
174.98,356.0,9,0.0,0,0,309.99,1,27.1,16,5,0,0,15,0,0,0,0,0,0,2015,174.98,174.9807572974448
174.98,356.0,9,0.47,0,0,309.99,1,30.9,16,5,0,0,15,0,0,0,0,0,0,2015,174.98,174.98054436918437
174.98,356.0,9,1.63,0,0,309.99,1,22.86,16,5,0,0,15,0,0,0,0,0,0,2015,174.98,174.97992556764027
174.98,356.0,9,1.7,0,0,309.99,1,12.93,17,5,0,0,16,0,0,0,0,0,0,2015,174.98,174.9799081330259
174.98,356.0,9,0.61,0,0,309.99,1,40.76,17,5,0,0,16,0,0,0,0,0,0,2015,174.98,174.97995279931564
196.46,360.0,9,8.87,0,0,356.2,1,80.18,17,5,0,1,16,0,0,0,0,0,0,2015,196.46,196.46026422229778
196.46,360.0,9,10.27,0,0,356.2,1,4.3,17,5,0,0,16,0,0,1,0,0,0,2015,196.46,196.46107487570387
196.46,360.0,9,0.0,0,0,356.2,1,27.21,17,5,0,0,16,0,0,0,0,0,0,2015,196.46,196.45990741871458
196.46,360.0,9,15.98,0,0,356.2,1,21.64,17,5,0,0,16,0,0,0,0,0,0,2015,196.46,196.45999039869454
196.46,360.0,9,11.44,0,0,356.2,1,34.75,17,5,0,0,16,0,0,0,0,0,0,2015,196.46,196.4608133191984
196.46,360.0,9,9.04,0,0,356.2,1,18.79,18,5,0,0,17,0,0,0,0,0,0,2015,196.46,196.46024658838763
201.51,370.0,9,8.99,0,0,359.75,1,75.83,18,5,0,1,17,0,0,0,0,0,0,2015,201.51,201.51066304146866
201.51,370.0,9,9.54,0,0,359.75,1,4.72,18,5,0,0,17,0,0,1,0,0,0,2015,201.51,201.51104377885628
201.51,370.0,9,1.12,0,0,359.75,1,9.26,18,5,0,0,17,0,0,0,0,0,0,2015,201.51,201.5106992877228
201.51,370.0,9,0.0,0,0,359.75,1,27.89,18,5,0,0,17,0,0,0,0,0,0,2015,201.51,201.5098869594317
201.51,370.0,9,0.55,0,0,359.75,1,35.37,18,5,0,0,17,0,0,0,0,0,0,2015,201.51,201.5107334690306
201.51,370.0,9,6.1,0,0,359.75,1,29.57,18,5,0,0,17,0,0,0,0,0,0,2015,201.51,201.5099256133875
201.51,370.0,9,0.0,0,0,359.75,1,26.78,19,5,0,0,18,0,0,0,0,0,0,2015,201.51,201.51071853837533
201.51,370.0,9,8.09,0,0,359.75,1,19.44,19,5,0,0,18,0,0,0,0,0,0,2015,201.51,201.50991900912172
201.51,370.0,9,2.51,0,0,359.75,1,27.45,19,5,0,0,18,0,0,0,0,0,0,2015,201.51,201.51019661985907
201.51,370.0,9,0.51,0,0,359.75,1,33.72,19,5,0,0,18,0,0,0,0,0,0,2015,201.51,201.5104716205748
201.51,370.0,9,13.28,0,0,359.75,1,4.22,19,5,0,0,18,0,0,1,0,0,0,2015,201.51,201.51136948502142
201.51,370.0,9,2.35,0,0,359.75,1,9.43,19,5,0,0,18,0,0,0,0,0,0,2015,201.51,201.51046299147
183.35,362.0,9,9.02,0,0,305.13,1,55.67,19,5,0,1,18,0,0,0,0,0,0,2015,183.35,183.35024554122035
183.35,362.0,9,1.99,0,0,305.13,1,11.76,20,5,0,0,19,0,0,0,0,0,0,2015,183.35,183.35020115067624
183.35,362.0,9,7.92,0,0,305.13,1,32.4,20,5,0,0,19,0,0,0,0,0,0,2015,183.35,183.35025979578543
183.35,362.0,9,0.0,0,0,305.13,1,25.39,20,5,0,0,19,0,0,0,0,0,0,2015,183.35,183.35072745262028
183.35,362.0,9,14.09,0,0,305.13,1,4.22,20,5,0,0,19,0,0,1,0,0,0,2015,183.35,183.3503901354419
183.35,362.0,9,0.46,0,0,305.13,1,33.66,20,5,0,0,19,0,0,0,0,0,0,2015,183.35,183.35051827224632
165.63,340.0,9,8.03,0,0,257.04,1,37.68,20,5,0,1,19,0,0,0,0,0,0,2015,165.63,165.62981982244045
